day_reported	data_source	variable	value
2020-02-24	FOPH online	cases	1
2020-02-25	FOPH online	cases	1
2020-02-26	FOPH online	cases	10
2020-02-27	FOPH online	cases	10
2020-02-28	FOPH online	cases	10
2020-02-29	FOPH online	cases	13
2020-03-01	FOPH online	cases	11
2020-03-02	FOPH online	cases	31
2020-03-03	FOPH online	cases	33
2020-03-04	FOPH online	cases	61
2020-03-05	FOPH online	cases	62
2020-03-06	FOPH online	cases	73
2020-03-07	FOPH online	cases	49
2020-03-08	FOPH online	cases	68
2020-03-09	FOPH online	cases	192
2020-03-10	FOPH online	cases	212
2020-03-11	FOPH online	cases	334
2020-03-12	FOPH online	cases	357
2020-03-13	FOPH online	cases	433
2020-03-14	FOPH online	cases	420
2020-03-15	FOPH online	cases	328
2020-03-16	FOPH online	cases	1063
2020-03-17	FOPH online	cases	1087
2020-03-18	FOPH online	cases	1214
2020-03-19	FOPH online	cases	835
2020-03-20	FOPH online	cases	1147
2020-03-21	FOPH online	cases	693
2020-03-22	FOPH online	cases	547
2020-03-23	FOPH online	cases	1464
2020-03-24	FOPH online	cases	1243
2020-03-25	FOPH online	cases	1072
2020-03-26	FOPH online	cases	1118
2020-03-27	FOPH online	cases	1308
2020-03-28	FOPH online	cases	723
2020-03-29	FOPH online	cases	433
2020-03-30	FOPH online	cases	1309
2020-03-31	FOPH online	cases	1137
2020-04-01	FOPH online	cases	1016
2020-04-02	FOPH online	cases	878
2020-04-03	FOPH online	cases	928
2020-04-04	FOPH online	cases	486
2020-04-05	FOPH online	cases	281
2020-04-06	FOPH online	cases	924
2020-04-07	FOPH online	cases	718
2020-04-08	FOPH online	cases	612
2020-04-09	FOPH online	cases	559
2020-04-10	FOPH online	cases	308
2020-04-11	FOPH online	cases	263
2020-04-12	FOPH online	cases	219
2020-04-13	FOPH online	cases	245
2020-04-14	FOPH online	cases	425
2020-04-15	FOPH online	cases	330
2020-04-16	FOPH online	cases	321
2020-04-17	FOPH online	cases	291
2020-04-18	FOPH online	cases	144
2020-04-19	FOPH online	cases	86
2020-04-20	FOPH online	cases	278
2020-04-21	FOPH online	cases	214
2020-04-22	FOPH online	cases	158
2020-04-23	FOPH online	cases	209
2020-04-24	FOPH online	cases	168
2020-04-25	FOPH online	cases	87
2020-04-26	FOPH online	cases	61
2020-04-27	FOPH online	cases	173
2020-04-28	FOPH online	cases	153
2020-04-29	FOPH online	cases	118
2020-04-30	FOPH online	cases	101
2020-05-01	FOPH online	cases	83
2020-05-02	FOPH online	cases	47
2020-05-03	FOPH online	cases	22
