day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-02-24	NA	NA	NA	1	NA	cases	FOPH_online	before_lockdown
2020-02-25	NA	NA	NA	1	NA	cases	FOPH_online	before_lockdown
2020-02-26	NA	NA	NA	10	NA	cases	FOPH_online	before_lockdown
2020-02-27	1.35703172917505	1.17032260030718	1.57352777217535	10	8	cases	FOPH_online	before_lockdown
2020-02-28	10.8562538334004	9.36258080245747	12.5882221774028	10	12.2857142857143	cases	FOPH_online	before_lockdown
2020-02-29	16.6721041012935	14.3782490894883	19.3319126295829	13	16.8571428571429	cases	FOPH_online	before_lockdown
2020-03-01	22.8756777203794	19.7282952623211	26.5251824452416	11	24	cases	FOPH_online	before_lockdown
2020-03-02	32.5687615002012	28.0877424073724	37.7646665322084	31	31.4285714285714	cases	FOPH_online	before_lockdown
2020-03-03	42.6495686312159	36.7815674382258	49.4537299826539	33	40.4285714285714	cases	FOPH_online	before_lockdown
2020-03-04	54.8628541937913	47.3144708409904	63.615479932232	60	45.5714285714286	cases	FOPH_online	before_lockdown
2020-03-05	61.841874515263	53.3332727854274	71.7079084748482	62	53.7142857142857	cases	FOPH_online	before_lockdown
2020-03-06	72.8919900242598	62.8630425307859	84.5209203339903	73	76.8571428571428	cases	FOPH_online	before_lockdown
2020-03-07	104.297581470882	89.9476512807521	120.936848775763	49	102.285714285714	cases	FOPH_online	before_lockdown
2020-03-08	138.804959727048	119.707283117135	160.949412125365	68	141.571428571429	cases	FOPH_online	before_lockdown
2020-03-09	192.116920516068	165.684242414917	222.766574603682	193	183.714285714286	cases	FOPH_online	before_lockdown
2020-03-10	249.306114817016	215.00498057072	289.079530716786	211	235	cases	FOPH_online	before_lockdown
2020-03-11	318.902456356137	275.025811072188	369.779026461208	335	288	cases	FOPH_online	before_lockdown
2020-03-12	390.825138002415	337.052908888469	453.175998386501	357	325	cases	FOPH_online	before_lockdown
2020-03-13	441.035311981891	380.354845099835	511.396525956989	432	449.857142857143	cases	FOPH_online	before_lockdown
2020-03-14	610.470416453176	526.477981195332	707.862707797169	420	574.571428571429	cases	FOPH_online	before_lockdown
2020-03-15	779.711659248865	672.433928347928	904.104099955609	327	700.428571428571	cases	FOPH_online	before_lockdown
2020-03-16	950.503795449325	819.727387043732	1102.14380956796	1067	768.571428571428	cases	FOPH_online	before_lockdown
2020-03-17	1042.97581470882	899.476512807521	1209.36848775763	1084	826	cases	FOPH_online	before_lockdown
2020-03-18	1120.90820829859	660.404943337179	1902.52242068647	1216	NA	cases	FOPH_online	before_lockdown
2020-03-19	1521.10800415395	719.831287998648	3214.32202083657	834	NA	cases	FOPH_online	before_lockdown
2020-03-20	2064.19182513904	825.647216083827	5160.66403176515	1145	NA	cases	FOPH_online	before_lockdown
2020-03-21	2801.17380181743	972.345453463486	8069.73965892359	NA	NA	cases	FOPH_online	before_lockdown
2020-03-22	3801.28172800016	1164.58629313144	12407.6187920555	NA	NA	cases	FOPH_online	before_lockdown
2020-03-23	5158.45991642958	1411.64647626509	18850.1222911095	NA	NA	cases	FOPH_online	before_lockdown
2020-03-24	7000.19378027262	1726.72407728907	28379.0060067391	NA	NA	cases	FOPH_online	before_lockdown
